order_id,created_at,user_line_name,user_phone,address,community,delivery_date,time_slot,chicken_items,side_items,extra_items,chicken_count,side_count,total_boxes,subtotal,delivery_fee,total_amount,payment_method,payment_status,order_status,staff_notes,customer_notes,customer_tags,handoff_type,handoff_logged_at,handoff_resolved_at,source,intent_confirmed,receipts_path,likely_paid,detected_amount,detected_account_last5,vision_confidence,vision_source,analyzed_at
ORD-20260804-037,2026-08-04T05:11:11.785Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-038,2026-08-04T05:11:11.787Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-039,2026-08-04T05:11:11.788Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-040,2026-08-04T05:11:11.790Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-041,2026-08-04T05:18:16.866Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-042,2026-08-04T05:18:16.870Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-043,2026-08-04T05:18:16.872Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-044,2026-08-04T05:18:16.873Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-045,2026-08-04T05:18:16.875Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-046,2026-08-04T05:20:58.984Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-047,2026-08-04T05:20:58.988Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-048,2026-08-04T05:20:58.990Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-049,2026-08-04T05:20:58.992Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-050,2026-08-04T05:20:58.993Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-051,2026-08-04T05:21:44.126Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-052,2026-08-04T05:21:44.131Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-053,2026-08-04T05:21:44.133Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-054,2026-08-04T05:21:44.134Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-055,2026-08-04T05:21:44.136Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-056,2026-08-04T06:10:23.573Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-057,2026-08-04T06:10:23.578Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-058,2026-08-04T06:10:23.580Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-059,2026-08-04T06:10:23.582Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-060,2026-08-04T06:10:23.583Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-061,2026-08-04T06:12:48.374Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-062,2026-08-04T06:12:48.379Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-063,2026-08-04T06:12:48.381Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-064,2026-08-04T06:12:48.383Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-065,2026-08-04T06:12:48.384Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-066,2026-08-04T06:13:53.316Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-067,2026-08-04T06:13:53.321Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-068,2026-08-04T06:13:53.323Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-069,2026-08-04T06:13:53.325Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-070,2026-08-04T06:13:53.326Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-071,2026-08-04T06:14:29.602Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-072,2026-08-04T06:14:29.606Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-073,2026-08-04T06:14:29.609Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-074,2026-08-04T06:14:29.611Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-075,2026-08-04T06:14:29.612Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-076,2026-08-04T06:15:41.165Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-077,2026-08-04T06:15:41.170Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-078,2026-08-04T06:15:41.172Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-079,2026-08-04T06:15:41.174Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-080,2026-08-04T06:15:41.175Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-081,2026-08-04T06:25:01.695Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-082,2026-08-04T06:25:01.700Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-083,2026-08-04T06:25:01.703Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-084,2026-08-04T06:25:01.704Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-085,2026-08-04T06:25:01.705Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-086,2026-08-04T06:53:04.351Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-087,2026-08-04T06:53:04.355Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-088,2026-08-04T06:53:04.358Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-089,2026-08-04T06:53:04.359Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-090,2026-08-04T06:53:04.360Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-091,2026-08-04T06:53:41.807Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-092,2026-08-04T06:53:41.811Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-093,2026-08-04T06:53:41.814Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-094,2026-08-04T06:53:41.815Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-095,2026-08-04T06:53:41.817Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-096,2026-08-04T07:18:40.977Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-097,2026-08-04T07:18:40.981Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-098,2026-08-04T07:18:40.985Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-099,2026-08-04T07:18:40.986Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-100,2026-08-04T07:18:40.987Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-101,2026-08-04T07:19:36.163Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-102,2026-08-04T07:19:36.167Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-103,2026-08-04T07:19:36.171Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-104,2026-08-04T07:19:36.172Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-105,2026-08-04T07:19:36.173Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-106,2026-08-04T07:20:43.925Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-107,2026-08-04T07:20:43.930Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-108,2026-08-04T07:20:43.933Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-109,2026-08-04T07:20:43.934Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-110,2026-08-04T07:20:43.936Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-111,2026-08-04T07:21:31.331Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-112,2026-08-04T07:21:31.336Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-113,2026-08-04T07:21:31.339Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-114,2026-08-04T07:21:31.340Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-115,2026-08-04T07:21:31.342Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-116,2026-08-04T07:22:57.492Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-117,2026-08-04T07:22:57.497Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-118,2026-08-04T07:22:57.500Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-119,2026-08-04T07:22:57.502Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-120,2026-08-04T07:22:57.503Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-121,2026-08-04T07:25:27.049Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-122,2026-08-04T07:25:27.054Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-123,2026-08-04T07:25:27.057Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-124,2026-08-04T07:25:27.059Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-125,2026-08-04T07:25:27.060Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-126,2026-08-04T07:26:26.156Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-127,2026-08-04T07:26:26.161Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-128,2026-08-04T07:26:26.164Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-129,2026-08-04T07:26:26.165Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-130,2026-08-04T07:26:26.167Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,hardening-test,true,,,,,,,
PENDING-1785722400000,2026-08-03T02:00:00.000Z,測試用戶,0912345678,新北市三峽區,,2026-08-04,上午,{},{},{},,,,380,,380,transfer,paid,confirmed,,,,,,,integration-test,true,,,,,,,
